#              X                D                V                M
    3.8054480785     0.0021120774    -1.0768893824     6.3897982739
    4.0606933072     0.0016816910    -1.0645052034     6.4831907230
    4.3159385359     0.0013641519    -1.0511528545     6.5682275097
    4.5711837646     0.0011227346    -1.0372639880     6.6464541360
    4.8264289934     0.0009356399    -1.0231297738     6.7189304806
    5.0816742221     0.0007884240    -1.0090670374     6.7864719704
    5.5784063865     0.0005841673    -0.9823350155     6.9063393037
    6.0751385510     0.0004462048    -0.9569500573     7.0141630544
    6.5718707155     0.0003483168    -0.9328675109     7.1122858500
    7.0686028800     0.0002767772    -0.9102106159     7.2022995438
    7.5653350445     0.0002235350    -0.8890221669     7.2853934753
    8.4506867405     0.0001600728    -0.8544404919     7.4197266878
    9.3360384364     0.0001193736    -0.8235403482     7.5406475085
   10.2213901324     0.0000912713    -0.7957509328     7.6510916216
   11.1067418284     0.0000710383    -0.7707006071     7.7527345703
   11.9920935244     0.0000562432    -0.7480313572     7.8465946558
   12.4403050334     0.0000503150    -0.7373340518     7.8913713682
   12.8885165423     0.0000452656    -0.7271028705     7.9344880773
   13.3367280513     0.0000409095    -0.7173099203     7.9761408469
   13.7849395602     0.0000371109    -0.7079266420     8.0164704630
   14.2331510692     0.0000337757    -0.6989270832     8.0555785145
   15.8070709194     0.0000249576    -0.6700457697     8.1845650994
   17.3809907696     0.0000190427    -0.6447184758     8.3027405239
   18.9549106198     0.0000148671    -0.6222411442     8.4119894321
   20.5288304700     0.0000118000    -0.6021379989     8.5137423057
   22.1027503202     0.0000095017    -0.5840320954     8.6088338326
   23.0137295353     0.0000084359    -0.5743342746     8.6610290741
   23.9247087504     0.0000075326    -0.5651483749     8.7112939030
   24.8356879655     0.0000067595    -0.5564305398     8.7598242092
   25.7466671807     0.0000060914    -0.5481412681     8.8067771190
   26.6576463958     0.0000055099    -0.5402460996     8.8522750759
   27.7755598592     0.0000048939    -0.5310513696     8.9062707221
   28.8934733227     0.0000043669    -0.5223540203     8.9583758690
   30.0113867861     0.0000039138    -0.5141105852     9.0087216943
   31.1293002496     0.0000035221    -0.5062826674     9.0574339913
   32.2472137130     0.0000031818    -0.4988360719     9.1046271418
   34.1117579296     0.0000027071    -0.4871845666     9.1802409379
   35.9763021463     0.0000023237    -0.4763889644     9.2523063866
   37.8408463629     0.0000020105    -0.4663482630     9.3211713929
   39.7053905796     0.0000017521    -0.4569775614     9.3871590187
   41.5699347962     0.0000015369    -0.4482044447     9.4505422601
   43.8671745252     0.0000013178    -0.4381249954     9.5254015173
   46.1644142542     0.0000011386    -0.4287598816     9.5969595900
   48.4616539832     0.0000009908    -0.4200284127     9.6654937322
   50.7588937122     0.0000008679    -0.4118616639     9.7312823176
   53.0561334412     0.0000007649    -0.4042003510     9.7945682923
   56.3212228075     0.0000006451    -0.3940824582     9.8806313058
   59.5863121739     0.0000005493    -0.3847600885     9.9625101154
   62.8514015402     0.0000004718    -0.3761335098    10.0406124722
   66.1164909065     0.0000004085    -0.3681193078    10.1153370259
   69.3815802728     0.0000003562    -0.3606470836    10.1870165919
   73.6400297956     0.0000003006    -0.3516173755    10.2764004923
   77.8984793184     0.0000002561    -0.3432977293    10.3614974236
   82.1569288411     0.0000002201    -0.3355995175    10.4426999674
   86.4153783639     0.0000001906    -0.3284482587    10.5204092856
   90.6738278867     0.0000001663    -0.3217810269    10.5949639596
   96.6831521351     0.0000001386    -0.3130941766    10.6953725912
  102.6924763835     0.0000001168    -0.3051416799    10.7906203454
  108.7018006320     0.0000000994    -0.2978251120    10.8812287081
  114.7111248804     0.0000000853    -0.2910629604    10.9677277619
  120.7204491288     0.0000000738    -0.2847873211    11.0505489082
  128.8567578071     0.0000000614    -0.2769648636    11.1574737579
  136.9930664853     0.0000000516    -0.2698143540    11.2588622186
  145.1293751636     0.0000000438    -0.2632446590    11.3552586163
  153.2656838419     0.0000000375    -0.2571802740    11.4472380471
  161.4019925201     0.0000000324    -0.2515584429    11.5352672254
  172.9743230165     0.0000000267    -0.2442230177    11.6544465910
  184.5466535128     0.0000000222    -0.2375546024    11.7671029510
  196.1189840091     0.0000000187    -0.2314576252    11.8739277851
  207.6913145054     0.0000000159    -0.2258538058    11.9756565652
  219.2636450018     0.0000000136    -0.2206788457    12.0728647732
  235.3917704596     0.0000000112    -0.2140822456    12.2017042220
  251.5198959174     0.0000000093    -0.2080993575    12.3233739111
  267.6480213752     0.0000000078    -0.2026405640    12.4386262675
  283.7761468330     0.0000000066    -0.1976325956    12.5482928820
  299.9042722908     0.0000000056    -0.1930155226    12.6530153958
  323.1947495030     0.0000000046    -0.1869390220    12.7966009573
  346.4852267151     0.0000000038    -0.1814562006    12.9318011526
  369.7757039273     0.0000000031    -0.1764762415    13.0595545698
  393.0661811395     0.0000000026    -0.1719256236    13.1809141478
  416.3566583516     0.0000000022    -0.1677448689    13.2966594747
  446.2678583516     0.0000000018    -0.1628391839    13.4381000117
  476.1790583516     0.0000000015    -0.1583799797    13.5719297610
  506.0902583516     0.0000000013    -0.1543037953    13.6988604443
  536.0014583516     0.0000000011    -0.1505582239    13.8197330927
  565.9126583516     0.0000000009    -0.1471001310    13.9352132282
  595.8238583516     0.0000000008    -0.1438919589    14.0458958795
  625.7350583516     0.0000000007    -0.1409047106    14.1520681228
  655.6462583516     0.0000000006    -0.1381145233    14.2540205118
  685.5574583516     0.0000000005    -0.1355005659    14.3520933482
  715.4686583516     0.0000000005    -0.1330447590    14.4466039872
  745.3798583516     0.0000000004    -0.1307309897    14.5378483218
  775.2910583516     0.0000000004    -0.1285458763    14.6260399832
  805.2022583516     0.0000000003    -0.1264779234    14.7113737213
  835.1134583516     0.0000000003    -0.1245169231    14.7940418023
  865.0246583516     0.0000000003    -0.1226538074    14.8742225674
  894.9358583516     0.0000000003    -0.1208803724    14.9520815698
  924.8470583516     0.0000000002    -0.1191895353    15.0277525745
  954.7582583516     0.0000000002    -0.1175750399    15.1013582512
  984.6694583516     0.0000000002    -0.1160312392    15.1730164216
 1000.0000000000     0.0000000002    -0.1152656465    15.2090264403
