   R [km]      D [g/ccm]   T [mev]     Y        
   2.533E+03   1.794E+06   2.396E-01   5.000E-01
   2.571E+03   1.777E+06   2.387E-01   5.000E-01
   2.609E+03   1.745E+06   2.371E-01   5.000E-01
   2.647E+03   1.706E+06   2.353E-01   5.000E-01
   2.686E+03   1.627E+06   2.314E-01   5.000E-01
   2.726E+03   1.576E+06   2.289E-01   5.000E-01
   2.766E+03   1.483E+06   2.243E-01   5.000E-01
   2.806E+03   1.421E+06   2.213E-01   5.000E-01
   2.848E+03   1.369E+06   2.187E-01   5.000E-01
   2.889E+03   1.325E+06   2.166E-01   5.000E-01
   2.931E+03   1.290E+06   2.148E-01   5.000E-01
   2.974E+03   1.253E+06   2.127E-01   5.000E-01
   3.017E+03   1.219E+06   2.106E-01   5.000E-01
   3.060E+03   1.189E+06   2.089E-01   5.000E-01
   3.105E+03   1.154E+06   2.068E-01   5.000E-01
   3.150E+03   1.126E+06   2.051E-01   5.000E-01
   3.195E+03   1.092E+06   2.030E-01   5.000E-01
   3.241E+03   1.062E+06   2.010E-01   5.000E-01
   3.287E+03   1.032E+06   1.991E-01   5.000E-01
   3.334E+03   1.002E+06   1.972E-01   5.000E-01
   3.382E+03   9.747E+05   1.954E-01   5.000E-01
   3.430E+03   9.466E+05   1.936E-01   5.000E-01
   3.479E+03   9.194E+05   1.918E-01   5.000E-01
   3.528E+03   8.900E+05   1.898E-01   5.000E-01
   3.578E+03   8.651E+05   1.880E-01   5.000E-01
   3.629E+03   8.419E+05   1.862E-01   5.000E-01
   3.680E+03   8.180E+05   1.844E-01   5.000E-01
   3.732E+03   7.936E+05   1.826E-01   5.000E-01
   3.785E+03   7.714E+05   1.808E-01   5.000E-01
   3.838E+03   7.496E+05   1.791E-01   5.000E-01
   3.892E+03   7.290E+05   1.774E-01   5.000E-01
   3.947E+03   7.100E+05   1.758E-01   5.000E-01
   4.002E+03   6.905E+05   1.741E-01   5.000E-01
   4.058E+03   6.698E+05   1.725E-01   5.000E-01
   4.115E+03   6.494E+05   1.707E-01   5.000E-01
   4.172E+03   6.297E+05   1.690E-01   5.000E-01
   4.230E+03   6.105E+05   1.672E-01   5.000E-01
   4.289E+03   5.924E+05   1.655E-01   5.000E-01
   4.349E+03   5.758E+05   1.639E-01   5.000E-01
   4.409E+03   5.598E+05   1.623E-01   5.000E-01
   4.470E+03   5.436E+05   1.607E-01   5.000E-01
   4.532E+03   5.277E+05   1.591E-01   5.000E-01
   4.594E+03   5.127E+05   1.575E-01   5.000E-01
   4.658E+03   4.983E+05   1.560E-01   5.000E-01
   4.722E+03   4.842E+05   1.545E-01   5.000E-01
   4.787E+03   4.707E+05   1.530E-01   5.000E-01
   4.853E+03   4.567E+05   1.515E-01   5.000E-01
   4.919E+03   4.431E+05   1.499E-01   5.000E-01
   4.987E+03   4.297E+05   1.484E-01   5.000E-01
   5.055E+03   4.164E+05   1.467E-01   5.000E-01
   5.124E+03   4.037E+05   1.452E-01   5.000E-01
   5.194E+03   3.914E+05   1.436E-01   5.000E-01
   5.265E+03   3.800E+05   1.422E-01   5.000E-01
   5.337E+03   3.691E+05   1.407E-01   5.000E-01
   5.410E+03   3.589E+05   1.394E-01   5.000E-01
   5.483E+03   3.481E+05   1.379E-01   5.000E-01
   5.558E+03   3.386E+05   1.366E-01   5.000E-01
   5.633E+03   3.277E+05   1.350E-01   5.000E-01
   5.709E+03   3.185E+05   1.338E-01   5.000E-01
   5.787E+03   3.082E+05   1.322E-01   5.000E-01
   5.865E+03   2.996E+05   1.309E-01   5.000E-01
   5.944E+03   2.882E+05   1.292E-01   5.000E-01
   6.025E+03   2.808E+05   1.281E-01   5.000E-01
   6.106E+03   2.763E+05   1.259E-01   5.000E-01
   6.188E+03   2.630E+05   1.262E-01   5.000E-01
   6.271E+03   2.568E+05   1.240E-01   5.000E-01
   6.356E+03   2.507E+05   1.223E-01   5.000E-01
   6.441E+03   2.395E+05   1.202E-01   5.000E-01
   6.528E+03   2.276E+05   1.203E-01   5.000E-01
   6.615E+03   2.290E+05   1.167E-01   5.000E-01
   6.704E+03   2.160E+05   1.173E-01   5.000E-01
   6.794E+03   2.101E+05   1.152E-01   5.000E-01
   6.884E+03   2.052E+05   1.145E-01   5.000E-01
   6.976E+03   1.986E+05   1.132E-01   5.000E-01
   7.070E+03   1.927E+05   1.120E-01   5.000E-01
   7.164E+03   1.860E+05   1.107E-01   5.000E-01
   7.259E+03   1.803E+05   1.095E-01   5.000E-01
   7.356E+03   1.748E+05   1.084E-01   5.000E-01
   7.454E+03   1.692E+05   1.071E-01   5.000E-01
   7.553E+03   1.636E+05   1.059E-01   5.000E-01
   7.653E+03   1.585E+05   1.048E-01   5.000E-01
   7.755E+03   1.536E+05   1.036E-01   5.000E-01
   7.858E+03   1.487E+05   1.025E-01   5.000E-01
   7.962E+03   1.442E+05   1.014E-01   5.000E-01
   8.068E+03   1.397E+05   1.003E-01   5.000E-01
   8.174E+03   1.354E+05   9.913E-02   5.000E-01
   8.282E+03   1.311E+05   9.798E-02   5.000E-01
   8.392E+03   1.270E+05   9.691E-02   5.000E-01
   8.503E+03   1.229E+05   9.576E-02   5.000E-01
   8.615E+03   1.190E+05   9.466E-02   5.000E-01
   8.729E+03   1.154E+05   9.363E-02   5.000E-01
   8.844E+03   1.119E+05   9.259E-02   5.000E-01
   8.960E+03   1.091E+05   9.174E-02   5.000E-01
   9.078E+03   1.066E+05   9.098E-02   5.000E-01
   9.198E+03   1.052E+05   9.066E-02   5.000E-01
   9.318E+03   1.039E+05   9.010E-02   5.000E-01
   9.441E+03   1.036E+05   8.963E-02   5.000E-01
   9.565E+03   1.031E+05   8.870E-02   5.000E-01
   9.690E+03   9.930E+04   8.950E-02   5.000E-01
   9.817E+03   9.705E+04   8.911E-02   5.000E-01
   9.941E+03   9.042E+04   9.056E-02   5.000E-01
