# r, rho, v, e
4.7110449298323074E+03 2.7251787598326848E+16 -3.7300462947822074E+04 1.0327340643919623E+33
4.7287365885999752E+03 2.6862217821128184E+16 -3.7645878650478575E+04 1.0130969246733405E+33
4.7464282473676431E+03 2.6480038104582640E+16 -3.7992414423503535E+04 9.9392431719284376E+32
4.7641199061353400E+03 2.6105074041489096E+16 -3.8340064128026279E+04 9.7520311745998821E+32
4.7818115649030078E+03 2.5737156140687904E+16 -3.8688821660754096E+04 9.5692063156373749E+32
4.7995032236707048E+03 2.5376119666149840E+16 -3.9038680953882576E+04 9.3906458010354362E+32
4.8171948824383726E+03 2.5021804482063904E+16 -3.9389635974995341E+04 9.2162308279226854E+32
4.8348865412060404E+03 2.4674054903658268E+16 -3.9741680726966893E+04 9.0458464369916641E+32
4.8525781999737374E+03 2.4332719553530004E+16 -4.0094809247856421E+04 8.8793813710414320E+32
4.8702698587414052E+03 2.3997651223249984E+16 -4.0449015610798044E+04 8.7167279393500977E+32
4.8879615175091021E+03 2.3668706740021244E+16 -4.0804293923893434E+04 8.5577818876091522E+32
4.9056531762767700E+03 2.3345746838197136E+16 -4.1160638330092450E+04 8.4024422731736623E+32
4.9233448350444378E+03 2.3028636035445428E+16 -4.1518043007078704E+04 8.2506113453805033E+32
4.9410364938121347E+03 2.2717242513382640E+16 -4.1876502167147337E+04 8.1021944307129146E+32
4.9587281525798026E+03 2.2411438002493524E+16 -4.2236010057078696E+04 7.9570998225921532E+32
4.9764198113474995E+03 2.2111097671157764E+16 -4.2596560958015856E+04 7.8152386755873854E+32
4.9941114701151673E+03 2.1816100018632040E+16 -4.2958149185330862E+04 7.6765249038536912E+32
5.0118031288828352E+03 2.1526326771815848E+16 -4.3320769088496316E+04 7.5408750836047989E+32
5.0294947876505321E+03 2.1241662785661848E+16 -4.3684415050949850E+04 7.4082083594482167E+32
5.0471864464181999E+03 2.0961995947083300E+16 -4.4049081489955155E+04 7.2784463544119745E+32
5.0648781051858969E+03 2.0687217082215464E+16 -4.4414762856467154E+04 7.1515130834994472E+32
5.0825697639535647E+03 2.0417219866911200E+16 -4.4781453634987105E+04 7.0273348706244619E+32
5.1002614227212325E+03 2.0151900740331784E+16 -4.5149148343423454E+04 6.9058402687746162E+32
5.1179530814889295E+03 1.9891158821523736E+16 -4.5517841532944549E+04 6.7869599832689497E+32
