                Time                    D                   S1                   S2                   S3                  tau                    P
  2.239887765638E-01   5.625000000000E-01   2.015898989074E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.046543113824E-01
  2.279764125838E-01   5.625000000000E-01   2.051787713254E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.038447282609E-01
  2.319645051756E-01   5.625000000000E-01   2.087680546580E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.030342238407E-01
  2.359888871573E-01   5.625000000000E-01   2.123899984416E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.022174798890E-01
  2.399762240030E-01   5.625000000000E-01   2.159786016027E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.014095754858E-01
  2.439641319912E-01   5.625000000000E-01   2.195677187921E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   5.006003342021E-01
  2.479877801924E-01   5.625000000000E-01   2.231890021732E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.997880115244E-01
  2.519750638640E-01   5.625000000000E-01   2.267775574776E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.989812921026E-01
  2.559633346292E-01   5.625000000000E-01   2.303670011663E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.981693091483E-01
  2.599877442259E-01   5.625000000000E-01   2.339889698033E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.973539677100E-01
  2.639750339382E-01   5.625000000000E-01   2.375775305444E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.965446225465E-01
  2.679998100943E-01   5.625000000000E-01   2.411998290848E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.957285043986E-01
  2.719868725647E-01   5.625000000000E-01   2.447881853082E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.949217125494E-01
  2.759738514257E-01   5.625000000000E-01   2.483764662831E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.941176783828E-01
  2.799989474677E-01   5.625000000000E-01   2.519990527209E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.932968088302E-01
  2.839866090057E-01   5.625000000000E-01   2.555879481051E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.924900402248E-01
  2.879738433548E-01   5.625000000000E-01   2.591764590193E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.916796954797E-01
  2.919985514060E-01   5.625000000000E-01   2.627986962654E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.908639821577E-01
  2.959859392570E-01   5.625000000000E-01   2.663873453313E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.900557020083E-01
  2.999725889299E-01   5.625000000000E-01   2.699753300369E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.892533720534E-01
  3.039976229197E-01   5.625000000000E-01   2.735978606277E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.884321756319E-01
  3.079854075222E-01   5.625000000000E-01   2.771868667700E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.876249695586E-01
  3.119725893778E-01   5.625000000000E-01   2.807753304401E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.868148557132E-01
  3.159972614189E-01   5.625000000000E-01   2.843975352770E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.859994363039E-01
  3.199848166871E-01   5.625000000000E-01   2.879863350184E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.851901055496E-01
  3.239713042454E-01   5.625000000000E-01   2.915741738209E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.843883576257E-01
  3.279962386725E-01   5.625000000000E-01   2.951966148052E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.835679893238E-01
  3.319840793690E-01   5.625000000000E-01   2.987856714321E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.827597231287E-01
  3.359713956790E-01   5.625000000000E-01   3.023742561111E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.819500281442E-01
  3.399957784804E-01   5.625000000000E-01   3.059962006323E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.811345482599E-01
  3.439835416925E-01   5.625000000000E-01   3.095851875233E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.803250713413E-01
  3.479699906590E-01   5.625000000000E-01   3.131729915931E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.795227302801E-01
  3.519946102588E-01   5.625000000000E-01   3.167951492329E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.787043533927E-01
  3.559826133801E-01   5.625000000000E-01   3.203843520421E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.778945143883E-01
  3.599699946284E-01   5.625000000000E-01   3.239729951656E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.770851981265E-01
  3.639942319602E-01   5.625000000000E-01   3.275948087642E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.762697886522E-01
  3.679820915908E-01   5.625000000000E-01   3.311838824318E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.754603905001E-01
  3.719686614357E-01   5.625000000000E-01   3.347717952921E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.746566272943E-01
  3.759929376878E-01   5.625000000000E-01   3.383936439190E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.738410920438E-01
  3.799811254890E-01   5.625000000000E-01   3.419830129401E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.730294653150E-01
  3.839684746514E-01   5.625000000000E-01   3.455716271862E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.722202671401E-01
  3.879926534357E-01   5.625000000000E-01   3.491933880922E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.714048702703E-01
  3.919804323862E-01   5.625000000000E-01   3.527823891476E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.705959639300E-01
  3.959672340359E-01   5.625000000000E-01   3.563705106323E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.697903901467E-01
  3.999912695572E-01   5.625000000000E-01   3.599921426015E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.689775771084E-01
  4.000000000000E-01   5.625000000000E-01   3.600000000000E-01   0.000000000000E+00   0.000000000000E+00   8.250000000000E-01   4.689758717668E-01
